time_s,phase,round,time_left_s,hr_bpm
0.0,Prep,0,60.0,91
1.0,Prep,0,59.0,91
2.0,Prep,0,58.0,91
3.0,Prep,0,57.0,91
4.0,Prep,0,56.0,91
5.0,Prep,0,55.0,92
6.0,Prep,0,54.0,92
7.0,Prep,0,53.0,92
8.0,Prep,0,52.0,92
9.0,Prep,0,51.0,93
10.0,Prep,0,50.0,95
11.0,Prep,0,49.0,95
12.1,Prep,0,47.9,96
13.1,Prep,0,46.9,99
14.1,Prep,0,45.9,101
15.1,Prep,0,44.9,104
16.1,Prep,0,43.9,106
17.1,Prep,0,42.9,107
18.1,Prep,0,41.9,107
19.1,Prep,0,40.9,107
20.1,Prep,0,39.9,108
21.1,Prep,0,38.9,109
22.1,Prep,0,37.9,109
23.1,Prep,0,36.9,109
24.1,Prep,0,35.9,109
25.1,Prep,0,34.9,108
26.1,Prep,0,33.9,104
27.1,Prep,0,32.9,104
28.1,Prep,0,31.9,100
29.1,Prep,0,30.9,95
30.1,Prep,0,29.9,91
31.1,Prep,0,28.9,91
32.1,Prep,0,27.9,89
33.1,Prep,0,26.9,89
34.1,Prep,0,25.9,89
35.1,Prep,0,24.9,92
36.1,Prep,0,23.9,94
37.2,Prep,0,22.8,98
38.2,Prep,0,21.8,98
39.2,Prep,0,20.8,101
40.2,Prep,0,19.8,103
41.2,Prep,0,18.8,105
42.2,Prep,0,17.8,107
43.2,Prep,0,16.8,108
44.2,Prep,0,15.8,108
45.2,Prep,0,14.8,107
46.2,Prep,0,13.8,107
47.2,Prep,0,12.8,106
48.2,Prep,0,11.8,103
49.2,Prep,0,10.8,101
50.2,Prep,0,9.8,98
51.2,Prep,0,8.8,98
52.2,Prep,0,7.8,96
53.2,Prep,0,6.8,96
54.2,Prep,0,5.8,96
55.2,Prep,0,4.8,97
56.2,Prep,0,3.8,99
57.2,Prep,0,2.8,99
58.2,Prep,0,1.8,99
59.2,Prep,0,0.8,98
60.2,Work,0,179.8,97
61.2,Work,0,178.8,97
62.2,Work,0,177.8,96
63.2,Work,0,176.8,95
64.2,Work,0,175.8,95
65.3,Work,0,174.7,94
66.3,Work,0,173.7,95
67.3,Work,0,172.7,95
68.3,Work,0,171.7,98
69.3,Work,0,170.7,101
70.3,Work,0,169.7,104
71.3,Work,0,168.7,105
72.3,Work,0,167.7,106
73.3,Work,0,166.7,107
74.3,Work,0,165.7,108
75.3,Work,0,164.7,109
76.3,Work,0,163.7,110
77.3,Work,0,162.7,111
78.3,Work,0,161.7,112
79.3,Work,0,160.7,114
80.3,Work,0,159.7,115
81.3,Work,0,158.7,116
82.3,Work,0,157.7,117
83.3,Work,0,156.7,117
84.3,Work,0,155.7,117
85.3,Work,0,154.7,117
86.3,Work,0,153.7,117
87.3,Work,0,152.7,117
88.3,Work,0,151.7,117
89.3,Work,0,150.7,118
90.3,Work,0,149.7,118
91.4,Work,0,148.6,119
92.4,Work,0,147.6,121
93.4,Work,0,146.6,121
94.4,Work,0,145.6,122
95.4,Work,0,144.6,123
96.4,Work,0,143.6,123
97.4,Work,0,142.6,124
98.4,Work,0,141.6,124
99.4,Work,0,140.6,124
100.4,Work,0,139.6,124
101.4,Work,0,138.6,124
102.4,Work,0,137.6,124
103.4,Work,0,136.6,124
104.4,Work,0,135.6,125
105.4,Work,0,134.6,125
106.4,Work,0,133.6,125
107.4,Work,0,132.6,126
108.4,Work,0,131.6,126
109.4,Work,0,130.6,127
110.4,Work,0,129.6,127
111.5,Work,0,128.5,128
112.5,Work,0,127.5,129
113.5,Work,0,126.5,129
114.5,Work,0,125.5,130
115.5,Work,0,124.5,131
116.5,Work,0,123.5,131
117.5,Work,0,122.5,131
118.5,Work,0,121.5,132
119.5,Work,0,120.5,133
120.5,Work,0,119.5,134
121.5,Work,0,118.5,134
122.5,Work,0,117.5,134
123.5,Work,0,116.5,135
124.5,Work,0,115.5,135
125.5,Work,0,114.5,135
126.6,Work,0,113.4,136
127.6,Work,0,112.4,135
128.6,Work,0,111.4,135
129.6,Work,0,110.4,135
130.6,Work,0,109.4,134
131.6,Work,0,108.4,134
132.6,Work,0,107.4,134
133.6,Work,0,106.4,134
134.6,Work,0,105.4,134
135.6,Work,0,104.4,135
136.6,Work,0,103.4,135
137.6,Work,0,102.4,135
138.6,Work,0,101.4,135
139.6,Work,0,100.4,136
140.6,Work,0,99.4,137
141.6,Work,0,98.4,136
142.6,Work,0,97.4,136
143.6,Work,0,96.4,137
144.6,Work,0,95.4,137
145.6,Work,0,94.4,138
146.6,Work,0,93.4,138
147.6,Work,0,92.4,138
148.6,Work,0,91.4,138
149.6,Work,0,90.4,138
150.6,Work,0,89.4,139
151.6,Work,0,88.4,139
152.6,Work,0,87.4,139
153.6,Work,0,86.4,139
154.6,Work,0,85.4,139
155.6,Work,0,84.4,139
156.6,Work,0,83.4,139
157.6,Work,0,82.4,139
158.6,Work,0,81.4,139
159.6,Work,0,80.4,139
160.6,Work,0,79.4,138
161.6,Work,0,78.4,138
162.6,Work,0,77.4,138
163.6,Work,0,76.4,136
164.6,Work,0,75.4,136
165.6,Work,0,74.4,135
166.6,Work,0,73.4,136
167.6,Work,0,72.4,136
168.6,Work,0,71.4,136
169.6,Work,0,70.4,135
170.6,Work,0,69.4,135
171.6,Work,0,68.4,135
172.7,Work,0,67.3,135
173.7,Work,0,66.3,135
174.7,Work,0,65.3,135
175.7,Work,0,64.3,135
176.7,Work,0,63.3,135
177.7,Work,0,62.3,135
178.7,Work,0,61.3,136
179.7,Work,0,60.3,136
180.7,Work,0,59.3,136
181.7,Work,0,58.3,137
182.7,Work,0,57.3,138
183.7,Work,0,56.3,138
184.7,Work,0,55.3,138
185.7,Work,0,54.3,138
186.7,Work,0,53.3,138
187.7,Work,0,52.3,138
188.7,Work,0,51.3,138
189.7,Work,0,50.3,138
190.7,Work,0,49.3,139
191.7,Work,0,48.3,139
192.7,Work,0,47.3,139
193.7,Work,0,46.3,140
194.7,Work,0,45.3,141
195.7,Work,0,44.3,142
196.7,Work,0,43.3,142
197.7,Work,0,42.3,142
198.7,Work,0,41.3,142
199.8,Work,0,40.2,142
200.8,Work,0,39.2,142
201.8,Work,0,38.2,142
202.8,Work,0,37.2,142
203.8,Work,0,36.2,142
204.8,Work,0,35.2,142
205.8,Work,0,34.2,142
206.8,Work,0,33.2,142
207.8,Work,0,32.2,142
208.8,Work,0,31.2,143
209.8,Work,0,30.2,144
210.8,Work,0,29.2,144
211.8,Work,0,28.2,144
212.8,Work,0,27.2,145
213.8,Work,0,26.2,145
214.8,Work,0,25.2,145
215.8,Work,0,24.2,146
216.8,Work,0,23.2,146
217.8,Work,0,22.2,146
218.8,Work,0,21.2,146
219.8,Work,0,20.2,147
220.9,Work,0,19.1,147
221.9,Work,0,18.1,147
222.9,Work,0,17.1,147
223.9,Work,0,16.1,148
224.9,Work,0,15.1,148
225.9,Work,0,14.1,149
226.9,Work,0,13.1,149
227.9,Work,0,12.1,149
228.9,Work,0,11.1,149
229.9,Work,0,10.1,149
230.9,Work,0,9.1,149
231.9,Work,0,8.1,150
232.9,Work,0,7.1,150
233.9,Work,0,6.1,150
234.9,Work,0,5.1,150
235.9,Work,0,4.1,150
236.9,Work,0,3.1,151
237.9,Work,0,2.1,151
238.9,Work,0,1.1,152
239.9,Work,0,0.1,152
240.9,Rest,1,59.1,152
241.9,Rest,1,58.1,153
242.9,Rest,1,57.1,153
243.9,Rest,1,56.1,153
244.9,Rest,1,55.1,153
245.9,Rest,1,54.1,153
246.9,Rest,1,53.1,153
247.9,Rest,1,52.1,153
248.9,Rest,1,51.1,153
249.9,Rest,1,50.1,152
250.9,Rest,1,49.1,151
251.9,Rest,1,48.1,147
252.9,Rest,1,47.1,147
254.0,Rest,1,46.0,146
255.0,Rest,1,45.0,144
256.0,Rest,1,44.0,144
257.0,Rest,1,43.0,144
258.0,Rest,1,42.0,143
259.0,Rest,1,41.0,143
260.0,Rest,1,40.0,143
261.0,Rest,1,39.0,143
262.0,Rest,1,38.0,143
263.0,Rest,1,37.0,142
264.0,Rest,1,36.0,143
265.0,Rest,1,35.0,143
266.0,Rest,1,34.0,141
267.0,Rest,1,33.0,141
268.0,Rest,1,32.0,140
269.0,Rest,1,31.0,139
270.0,Rest,1,30.0,137
271.0,Rest,1,29.0,137
272.0,Rest,1,28.0,135
273.0,Rest,1,27.0,135
274.0,Rest,1,26.0,134
275.0,Rest,1,25.0,134
276.0,Rest,1,24.0,133
277.0,Rest,1,23.0,134
278.0,Rest,1,22.0,133
279.0,Rest,1,21.0,133
280.0,Rest,1,20.0,133
281.0,Rest,1,19.0,133
282.0,Rest,1,18.0,133
283.0,Rest,1,17.0,133
284.0,Rest,1,16.0,132
285.0,Rest,1,15.0,132
286.0,Rest,1,14.0,132
287.0,Rest,1,13.0,131
288.0,Rest,1,12.0,129
289.0,Rest,1,11.0,128
290.0,Rest,1,10.0,128
291.1,Rest,1,8.9,126
292.1,Rest,1,7.9,125
293.1,Rest,1,6.9,123
294.1,Rest,1,5.9,123
295.1,Rest,1,4.9,123
296.1,Rest,1,3.9,123
297.1,Rest,1,2.9,122
298.1,Rest,1,1.9,121
299.1,Rest,1,0.9,121
300.1,Work,1,179.9,121
301.1,Work,1,178.9,121
302.1,Work,1,177.9,120
303.1,Work,1,176.9,120
304.1,Work,1,175.9,120
305.1,Work,1,174.9,120
306.1,Work,1,173.9,120
307.1,Work,1,172.9,120
308.1,Work,1,171.9,120
309.1,Work,1,170.9,120
310.1,Work,1,169.9,120
311.1,Work,1,168.9,120
312.1,Work,1,167.9,121
313.1,Work,1,166.9,121
314.1,Work,1,165.9,122
315.1,Work,1,164.9,123
316.1,Work,1,163.9,123
317.1,Work,1,162.9,124
318.1,Work,1,161.9,124
319.1,Work,1,160.9,124
320.1,Work,1,159.9,124
321.1,Work,1,158.9,124
322.2,Work,1,157.8,125
323.2,Work,1,156.8,125
324.2,Work,1,155.8,126
325.2,Work,1,154.8,127
326.2,Work,1,153.8,128
327.2,Work,1,152.8,128
328.2,Work,1,151.8,129
329.2,Work,1,150.8,129
330.2,Work,1,149.8,130
331.2,Work,1,148.8,131
332.2,Work,1,147.8,131
333.2,Work,1,146.8,132
334.2,Work,1,145.8,132
335.2,Work,1,144.8,133
336.2,Work,1,143.8,133
337.2,Work,1,142.8,133
338.2,Work,1,141.8,134
339.2,Work,1,140.8,134
340.2,Work,1,139.8,135
341.2,Work,1,138.8,136
342.2,Work,1,137.8,136
343.2,Work,1,136.8,136
344.2,Work,1,135.8,137
345.2,Work,1,134.8,138
346.2,Work,1,133.8,139
347.2,Work,1,132.8,139
348.2,Work,1,131.8,139
349.2,Work,1,130.8,140
350.2,Work,1,129.8,140
351.2,Work,1,128.8,141
352.2,Work,1,127.8,141
353.2,Work,1,126.8,141
354.2,Work,1,125.8,141
355.2,Work,1,124.8,142
356.2,Work,1,123.8,142
357.2,Work,1,122.8,141
358.2,Work,1,121.8,141
359.2,Work,1,120.8,141
360.2,Work,1,119.8,141
361.2,Work,1,118.8,141
362.2,Work,1,117.8,141
363.2,Work,1,116.8,141
364.2,Work,1,115.8,142
365.2,Work,1,114.8,142
366.2,Work,1,113.8,142
367.2,Work,1,112.8,143
368.2,Work,1,111.8,143
369.3,Work,1,110.7,143
370.3,Work,1,109.7,143
371.3,Work,1,108.7,143
372.3,Work,1,107.7,144
373.3,Work,1,106.7,144
374.3,Work,1,105.7,144
375.3,Work,1,104.7,145
376.3,Work,1,103.7,145
377.3,Work,1,102.7,145
378.3,Work,1,101.7,145
379.3,Work,1,100.7,145
380.3,Work,1,99.7,145
381.3,Work,1,98.7,145
382.3,Work,1,97.7,144
383.3,Work,1,96.7,144
