"Date/Time", "Heart Rate (bpm)"
"May 25, 2026 at 17:56:28", 91
"May 25, 2026 at 17:56:29", 91
"May 25, 2026 at 17:56:30", 91
"May 25, 2026 at 17:56:31", 91
"May 25, 2026 at 17:56:32", 91
"May 25, 2026 at 17:56:33", 91
"May 25, 2026 at 17:56:34", 91
"May 25, 2026 at 17:56:35", 91
"May 25, 2026 at 17:56:36", 92
"May 25, 2026 at 17:56:37", 92
"May 25, 2026 at 17:56:38", 92
"May 25, 2026 at 17:56:39", 93
"May 25, 2026 at 17:56:40", 94
"May 25, 2026 at 17:56:41", 94
"May 25, 2026 at 17:56:42", 94
"May 25, 2026 at 17:56:43", 94
"May 25, 2026 at 17:56:44", 95
"May 25, 2026 at 17:56:45", 95
"May 25, 2026 at 17:56:46", 96
"May 25, 2026 at 17:56:47", 96
"May 25, 2026 at 17:56:48", 97
"May 25, 2026 at 17:56:49", 97
"May 25, 2026 at 17:56:50", 98
"May 25, 2026 at 17:56:51", 98
"May 25, 2026 at 17:56:52", 98
"May 25, 2026 at 17:56:53", 98
"May 25, 2026 at 17:56:54", 98
"May 25, 2026 at 17:56:55", 97
"May 25, 2026 at 17:56:56", 97
"May 25, 2026 at 17:56:57", 97
"May 25, 2026 at 17:56:58", 97
"May 25, 2026 at 17:56:59", 98
"May 25, 2026 at 17:57:00", 99
"May 25, 2026 at 17:57:01", 100
"May 25, 2026 at 17:57:02", 101
"May 25, 2026 at 17:57:03", 101
"May 25, 2026 at 17:57:04", 102
"May 25, 2026 at 17:57:05", 102
"May 25, 2026 at 17:57:06", 102
"May 25, 2026 at 17:57:07", 102
"May 25, 2026 at 17:57:08", 101
"May 25, 2026 at 17:57:09", 101
"May 25, 2026 at 17:57:10", 101
"May 25, 2026 at 17:57:11", 100
"May 25, 2026 at 17:57:12", 100
"May 25, 2026 at 17:57:13", 100
"May 25, 2026 at 17:57:14", 100
"May 25, 2026 at 17:57:15", 100
"May 25, 2026 at 17:57:16", 101
"May 25, 2026 at 17:57:17", 101
"May 25, 2026 at 17:57:19", 101
"May 25, 2026 at 17:57:19", 102
"May 25, 2026 at 17:57:20", 102
