"Date/Time", "Heart Rate (bpm)"
"May 25, 2026 at 18:05:24", 108
"May 25, 2026 at 18:05:25", 108
"May 25, 2026 at 18:05:26", 107
"May 25, 2026 at 18:05:27", 106
"May 25, 2026 at 18:05:28", 104
"May 25, 2026 at 18:05:29", 103
"May 25, 2026 at 18:05:30", 104
"May 25, 2026 at 18:05:31", 104
"May 25, 2026 at 18:05:32", 105
"May 25, 2026 at 18:05:33", 105
"May 25, 2026 at 18:05:34", 104
"May 25, 2026 at 18:05:35", 103
"May 25, 2026 at 18:05:36", 103
"May 25, 2026 at 18:05:37", 103
"May 25, 2026 at 18:05:38", 104
"May 25, 2026 at 18:05:39", 105
"May 25, 2026 at 18:05:40", 105
"May 25, 2026 at 18:05:41", 105
"May 25, 2026 at 18:05:42", 105
"May 25, 2026 at 18:05:43", 107
"May 25, 2026 at 18:05:44", 108
"May 25, 2026 at 18:05:45", 108
"May 25, 2026 at 18:05:46", 107
"May 25, 2026 at 18:05:47", 107
"May 25, 2026 at 18:05:48", 107
"May 25, 2026 at 18:05:49", 107
"May 25, 2026 at 18:05:50", 107
"May 25, 2026 at 18:05:51", 107
"May 25, 2026 at 18:05:52", 108
"May 25, 2026 at 18:05:53", 108
"May 25, 2026 at 18:05:54", 108
"May 25, 2026 at 18:05:55", 108
"May 25, 2026 at 18:05:56", 108
"May 25, 2026 at 18:05:57", 108
"May 25, 2026 at 18:05:58", 108
"May 25, 2026 at 18:05:59", 108
"May 25, 2026 at 18:06:00", 109
"May 25, 2026 at 18:06:01", 109
"May 25, 2026 at 18:06:02", 109
"May 25, 2026 at 18:06:03", 108
"May 25, 2026 at 18:06:04", 108
"May 25, 2026 at 18:06:05", 108
"May 25, 2026 at 18:06:06", 106
"May 25, 2026 at 18:06:07", 106
"May 25, 2026 at 18:06:08", 105
"May 25, 2026 at 18:06:09", 105
"May 25, 2026 at 18:06:10", 105
"May 25, 2026 at 18:06:11", 105
"May 25, 2026 at 18:06:12", 106
"May 25, 2026 at 18:06:13", 105
"May 25, 2026 at 18:06:14", 107
"May 25, 2026 at 18:06:15", 107
"May 25, 2026 at 18:06:16", 106
"May 25, 2026 at 18:06:17", 106
"May 25, 2026 at 18:06:18", 104
"May 25, 2026 at 18:06:19", 102
"May 25, 2026 at 18:06:20", 100
"May 25, 2026 at 18:06:21", 100
"May 25, 2026 at 18:06:22", 100
"May 25, 2026 at 18:06:23", 100
"May 25, 2026 at 18:06:24", 100
"May 25, 2026 at 18:06:25", 100
"May 25, 2026 at 18:06:26", 102
"May 25, 2026 at 18:06:27", 103
"May 25, 2026 at 18:06:28", 104
"May 25, 2026 at 18:06:29", 104
"May 25, 2026 at 18:06:30", 105
"May 25, 2026 at 18:06:31", 104
"May 25, 2026 at 18:06:32", 106
"May 25, 2026 at 18:06:33", 106
"May 25, 2026 at 18:06:34", 106
"May 25, 2026 at 18:06:35", 106
"May 25, 2026 at 18:06:36", 105
"May 25, 2026 at 18:06:37", 105
"May 25, 2026 at 18:06:38", 106
"May 25, 2026 at 18:06:39", 107
"May 25, 2026 at 18:06:40", 107
"May 25, 2026 at 18:06:41", 107
"May 25, 2026 at 18:06:42", 106
"May 25, 2026 at 18:06:43", 105
"May 25, 2026 at 18:06:44", 103
"May 25, 2026 at 18:06:45", 102
"May 25, 2026 at 18:06:46", 102
"May 25, 2026 at 18:06:47", 102
"May 25, 2026 at 18:06:48", 100
"May 25, 2026 at 18:06:49", 99
"May 25, 2026 at 18:06:50", 99
"May 25, 2026 at 18:06:51", 97
"May 25, 2026 at 18:06:52", 97
"May 25, 2026 at 18:06:53", 97
"May 25, 2026 at 18:06:54", 97
"May 25, 2026 at 18:06:55", 96
"May 25, 2026 at 18:06:56", 96
"May 25, 2026 at 18:06:57", 97
"May 25, 2026 at 18:06:58", 97
"May 25, 2026 at 18:06:59", 96
"May 25, 2026 at 18:07:00", 95
"May 25, 2026 at 18:07:01", 95
"May 25, 2026 at 18:07:02", 95
"May 25, 2026 at 18:07:03", 96
"May 25, 2026 at 18:07:04", 97
"May 25, 2026 at 18:07:05", 98
"May 25, 2026 at 18:07:06", 97
"May 25, 2026 at 18:07:07", 97
"May 25, 2026 at 18:07:08", 97
"May 25, 2026 at 18:07:09", 97
"May 25, 2026 at 18:07:10", 97
"May 25, 2026 at 18:07:11", 97
"May 25, 2026 at 18:07:12", 95
"May 25, 2026 at 18:07:13", 95
"May 25, 2026 at 18:07:14", 95
"May 25, 2026 at 18:07:15", 93
"May 25, 2026 at 18:07:16", 92
"May 25, 2026 at 18:07:17", 91
"May 25, 2026 at 18:07:18", 91
"May 25, 2026 at 18:07:19", 91
"May 25, 2026 at 18:07:20", 90
"May 25, 2026 at 18:07:21", 91
"May 25, 2026 at 18:07:22", 91
"May 25, 2026 at 18:07:23", 91
"May 25, 2026 at 18:07:24", 91
"May 25, 2026 at 18:07:25", 91
"May 25, 2026 at 18:07:26", 91
"May 25, 2026 at 18:07:27", 91
"May 25, 2026 at 18:07:28", 91
"May 25, 2026 at 18:07:29", 91
"May 25, 2026 at 18:07:30", 91
"May 25, 2026 at 18:07:31", 91
"May 25, 2026 at 18:07:32", 93
"May 25, 2026 at 18:07:33", 95
"May 25, 2026 at 18:07:34", 95
"May 25, 2026 at 18:07:35", 96
"May 25, 2026 at 18:07:36", 95
"May 25, 2026 at 18:07:37", 94
"May 25, 2026 at 18:07:38", 93
"May 25, 2026 at 18:07:39", 93
"May 25, 2026 at 18:07:40", 92
"May 25, 2026 at 18:07:41", 92
"May 25, 2026 at 18:07:42", 92
"May 25, 2026 at 18:07:43", 92
"May 25, 2026 at 18:07:44", 92
"May 25, 2026 at 18:07:45", 92
"May 25, 2026 at 18:07:46", 93
"May 25, 2026 at 18:07:47", 94
"May 25, 2026 at 18:07:48", 94
"May 25, 2026 at 18:07:49", 94
"May 25, 2026 at 18:07:50", 96
"May 25, 2026 at 18:07:51", 96
"May 25, 2026 at 18:07:52", 99
"May 25, 2026 at 18:07:53", 101
"May 25, 2026 at 18:07:54", 102
"May 25, 2026 at 18:07:55", 102
"May 25, 2026 at 18:07:56", 102
"May 25, 2026 at 18:07:57", 102
"May 25, 2026 at 18:07:58", 102
"May 25, 2026 at 18:07:59", 102
"May 25, 2026 at 18:08:00", 102
"May 25, 2026 at 18:08:01", 101
"May 25, 2026 at 18:08:02", 101
"May 25, 2026 at 18:08:03", 102
"May 25, 2026 at 18:08:04", 103
"May 25, 2026 at 18:08:05", 103
"May 25, 2026 at 18:08:06", 101
"May 25, 2026 at 18:08:07", 101
"May 25, 2026 at 18:08:08", 99
"May 25, 2026 at 18:08:09", 97
"May 25, 2026 at 18:08:10", 95
"May 25, 2026 at 18:08:11", 94
"May 25, 2026 at 18:08:12", 94
"May 25, 2026 at 18:08:13", 93
"May 25, 2026 at 18:08:14", 93
"May 25, 2026 at 18:08:15", 94
"May 25, 2026 at 18:08:16", 96
"May 25, 2026 at 18:08:17", 96
"May 25, 2026 at 18:08:18", 98
"May 25, 2026 at 18:08:19", 100
"May 25, 2026 at 18:08:20", 102
"May 25, 2026 at 18:08:21", 102
"May 25, 2026 at 18:08:22", 103
"May 25, 2026 at 18:08:23", 103
"May 25, 2026 at 18:08:24", 104
"May 25, 2026 at 18:08:25", 105
"May 25, 2026 at 18:08:26", 106
"May 25, 2026 at 18:08:27", 107
"May 25, 2026 at 18:08:28", 107
"May 25, 2026 at 18:08:29", 108
"May 25, 2026 at 18:08:30", 108
"May 25, 2026 at 18:08:31", 110
"May 25, 2026 at 18:08:32", 111
"May 25, 2026 at 18:08:33", 112
"May 25, 2026 at 18:08:34", 113
"May 25, 2026 at 18:08:35", 113
"May 25, 2026 at 18:08:36", 113
"May 25, 2026 at 18:08:37", 113
"May 25, 2026 at 18:08:38", 113
"May 25, 2026 at 18:08:39", 113
"May 25, 2026 at 18:08:40", 113
"May 25, 2026 at 18:08:41", 112
"May 25, 2026 at 18:08:42", 110
"May 25, 2026 at 18:08:43", 107
"May 25, 2026 at 18:08:44", 105
"May 25, 2026 at 18:08:45", 105
"May 25, 2026 at 18:08:46", 102
"May 25, 2026 at 18:08:47", 101
"May 25, 2026 at 18:08:48", 100
"May 25, 2026 at 18:08:49", 100
"May 25, 2026 at 18:08:50", 100
"May 25, 2026 at 18:08:51", 100
"May 25, 2026 at 18:08:52", 100
"May 25, 2026 at 18:08:53", 101
"May 25, 2026 at 18:08:54", 101
"May 25, 2026 at 18:08:55", 101
"May 25, 2026 at 18:08:56", 101
"May 25, 2026 at 18:08:57", 101
"May 25, 2026 at 18:08:58", 101
"May 25, 2026 at 18:08:59", 101
"May 25, 2026 at 18:09:00", 102
"May 25, 2026 at 18:09:01", 101
"May 25, 2026 at 18:09:02", 101
"May 25, 2026 at 18:09:03", 101
"May 25, 2026 at 18:09:04", 102
"May 25, 2026 at 18:09:05", 103
"May 25, 2026 at 18:09:06", 104
"May 25, 2026 at 18:09:07", 104
"May 25, 2026 at 18:09:08", 105
"May 25, 2026 at 18:09:09", 107
"May 25, 2026 at 18:09:10", 109
"May 25, 2026 at 18:09:11", 110
"May 25, 2026 at 18:09:12", 111
"May 25, 2026 at 18:09:13", 112
"May 25, 2026 at 18:09:14", 112
"May 25, 2026 at 18:09:15", 112
"May 25, 2026 at 18:09:16", 111
"May 25, 2026 at 18:09:17", 109
"May 25, 2026 at 18:09:18", 107
"May 25, 2026 at 18:09:19", 104
"May 25, 2026 at 18:09:20", 104
"May 25, 2026 at 18:09:21", 101
"May 25, 2026 at 18:09:22", 100
"May 25, 2026 at 18:09:23", 100
"May 25, 2026 at 18:09:24", 101
"May 25, 2026 at 18:09:25", 103
"May 25, 2026 at 18:09:26", 105
"May 25, 2026 at 18:09:27", 107
"May 25, 2026 at 18:09:28", 108
"May 25, 2026 at 18:09:29", 108
"May 25, 2026 at 18:09:30", 108
"May 25, 2026 at 18:09:31", 108
"May 25, 2026 at 18:09:32", 107
"May 25, 2026 at 18:09:33", 107
"May 25, 2026 at 18:09:34", 106
"May 25, 2026 at 18:09:35", 106
"May 25, 2026 at 18:09:36", 106
"May 25, 2026 at 18:09:37", 106
"May 25, 2026 at 18:09:38", 106
"May 25, 2026 at 18:09:39", 106
"May 25, 2026 at 18:09:40", 106
"May 25, 2026 at 18:09:41", 106
"May 25, 2026 at 18:09:42", 105
"May 25, 2026 at 18:09:43", 105
"May 25, 2026 at 18:09:44", 106
"May 25, 2026 at 18:09:45", 107
"May 25, 2026 at 18:09:46", 107
"May 25, 2026 at 18:09:47", 109
"May 25, 2026 at 18:09:48", 111
"May 25, 2026 at 18:09:49", 114
"May 25, 2026 at 18:09:50", 118
"May 25, 2026 at 18:09:51", 118
"May 25, 2026 at 18:09:52", 118
"May 25, 2026 at 18:09:53", 118
"May 25, 2026 at 18:09:54", 117
"May 25, 2026 at 18:09:55", 116
"May 25, 2026 at 18:09:56", 115
"May 25, 2026 at 18:09:57", 114
"May 25, 2026 at 18:09:58", 113
"May 25, 2026 at 18:09:59", 113
"May 25, 2026 at 18:10:00", 113
"May 25, 2026 at 18:10:01", 114
"May 25, 2026 at 18:10:02", 113
"May 25, 2026 at 18:10:03", 113
"May 25, 2026 at 18:10:04", 112
"May 25, 2026 at 18:10:05", 112
"May 25, 2026 at 18:10:06", 112
"May 25, 2026 at 18:10:07", 112
"May 25, 2026 at 18:10:08", 112
"May 25, 2026 at 18:10:09", 112
"May 25, 2026 at 18:10:10", 112
"May 25, 2026 at 18:10:11", 113
"May 25, 2026 at 18:10:12", 114
"May 25, 2026 at 18:10:13", 114
"May 25, 2026 at 18:10:14", 114
"May 25, 2026 at 18:10:15", 114
"May 25, 2026 at 18:10:16", 113
"May 25, 2026 at 18:10:17", 113
"May 25, 2026 at 18:10:18", 112
"May 25, 2026 at 18:10:19", 111
"May 25, 2026 at 18:10:20", 109
"May 25, 2026 at 18:10:21", 109
"May 25, 2026 at 18:10:22", 108
"May 25, 2026 at 18:10:23", 108
"May 25, 2026 at 18:10:24", 108
"May 25, 2026 at 18:10:25", 108
"May 25, 2026 at 18:10:26", 108
"May 25, 2026 at 18:10:27", 108
"May 25, 2026 at 18:10:28", 108
"May 25, 2026 at 18:10:29", 108
"May 25, 2026 at 18:10:30", 108
"May 25, 2026 at 18:10:31", 107
"May 25, 2026 at 18:10:32", 108
"May 25, 2026 at 18:10:33", 108
"May 25, 2026 at 18:10:34", 108
"May 25, 2026 at 18:10:35", 108
"May 25, 2026 at 18:10:36", 108
"May 25, 2026 at 18:10:37", 107
"May 25, 2026 at 18:10:38", 106
"May 25, 2026 at 18:10:39", 105
"May 25, 2026 at 18:10:40", 105
"May 25, 2026 at 18:10:41", 105
"May 25, 2026 at 18:10:42", 104
"May 25, 2026 at 18:10:43", 104
"May 25, 2026 at 18:10:44", 104
"May 25, 2026 at 18:10:45", 104
"May 25, 2026 at 18:10:46", 105
"May 25, 2026 at 18:10:47", 106
"May 25, 2026 at 18:10:48", 105
"May 25, 2026 at 18:10:49", 105
"May 25, 2026 at 18:10:50", 104
"May 25, 2026 at 18:10:51", 104
"May 25, 2026 at 18:10:52", 105
"May 25, 2026 at 18:10:53", 106
"May 25, 2026 at 18:10:54", 107
"May 25, 2026 at 18:10:55", 106
"May 25, 2026 at 18:10:56", 105
"May 25, 2026 at 18:10:57", 105
"May 25, 2026 at 18:10:58", 105
"May 25, 2026 at 18:10:59", 105
"May 25, 2026 at 18:11:00", 105
"May 25, 2026 at 18:11:01", 105
"May 25, 2026 at 18:11:02", 104
"May 25, 2026 at 18:11:03", 104
"May 25, 2026 at 18:11:04", 99
"May 25, 2026 at 18:11:05", 96
"May 25, 2026 at 18:11:06", 96
"May 25, 2026 at 18:11:07", 97
"May 25, 2026 at 18:11:08", 97
"May 25, 2026 at 18:11:09", 99
"May 25, 2026 at 18:11:10", 97
"May 25, 2026 at 18:11:11", 97
"May 25, 2026 at 18:11:12", 96
"May 25, 2026 at 18:11:13", 98
"May 25, 2026 at 18:11:14", 100
"May 25, 2026 at 18:11:15", 100
"May 25, 2026 at 18:11:16", 101
"May 25, 2026 at 18:11:17", 101
"May 25, 2026 at 18:11:18", 104
"May 25, 2026 at 18:11:19", 106
"May 25, 2026 at 18:11:20", 107
"May 25, 2026 at 18:11:21", 107
"May 25, 2026 at 18:11:22", 107
"May 25, 2026 at 18:11:23", 107
"May 25, 2026 at 18:11:24", 107
"May 25, 2026 at 18:11:25", 106
"May 25, 2026 at 18:11:26", 105
"May 25, 2026 at 18:11:27", 103
"May 25, 2026 at 18:11:28", 102
"May 25, 2026 at 18:11:29", 102
"May 25, 2026 at 18:11:30", 102
"May 25, 2026 at 18:11:31", 103
"May 25, 2026 at 18:11:32", 103
"May 25, 2026 at 18:11:33", 103
"May 25, 2026 at 18:11:34", 103
"May 25, 2026 at 18:11:35", 103
"May 25, 2026 at 18:11:36", 104
"May 25, 2026 at 18:11:37", 104
"May 25, 2026 at 18:11:38", 104
"May 25, 2026 at 18:11:39", 105
"May 25, 2026 at 18:11:40", 105
"May 25, 2026 at 18:11:41", 105
"May 25, 2026 at 18:11:42", 106
"May 25, 2026 at 18:11:43", 106
"May 25, 2026 at 18:11:44", 106
"May 25, 2026 at 18:11:45", 107
"May 25, 2026 at 18:11:46", 107
"May 25, 2026 at 18:11:47", 107
"May 25, 2026 at 18:11:48", 107
"May 25, 2026 at 18:11:49", 107
"May 25, 2026 at 18:11:50", 107
"May 25, 2026 at 18:11:51", 107
"May 25, 2026 at 18:11:52", 108
"May 25, 2026 at 18:11:53", 108
"May 25, 2026 at 18:11:54", 107
"May 25, 2026 at 18:11:55", 107
"May 25, 2026 at 18:11:56", 107
"May 25, 2026 at 18:11:57", 107
"May 25, 2026 at 18:11:58", 106
"May 25, 2026 at 18:11:59", 105
"May 25, 2026 at 18:12:00", 105
"May 25, 2026 at 18:12:01", 105
"May 25, 2026 at 18:12:02", 105
"May 25, 2026 at 18:12:03", 105
"May 25, 2026 at 18:12:04", 105
"May 25, 2026 at 18:12:05", 105
"May 25, 2026 at 18:12:06", 105
"May 25, 2026 at 18:12:07", 104
"May 25, 2026 at 18:12:08", 104
"May 25, 2026 at 18:12:09", 103
"May 25, 2026 at 18:12:10", 104
"May 25, 2026 at 18:12:11", 104
"May 25, 2026 at 18:12:12", 105
"May 25, 2026 at 18:12:14", 105
"May 25, 2026 at 18:12:14", 104
"May 25, 2026 at 18:12:15", 104
"May 25, 2026 at 18:12:16", 105
"May 25, 2026 at 18:12:17", 107
"May 25, 2026 at 18:12:18", 107
"May 25, 2026 at 18:12:19", 107
"May 25, 2026 at 18:12:20", 107
"May 25, 2026 at 18:12:21", 105
"May 25, 2026 at 18:12:22", 104
"May 25, 2026 at 18:12:23", 104
"May 25, 2026 at 18:12:24", 104
"May 25, 2026 at 18:12:25", 104
"May 25, 2026 at 18:12:26", 103
"May 25, 2026 at 18:12:27", 102
"May 25, 2026 at 18:12:28", 101
"May 25, 2026 at 18:12:29", 101
"May 25, 2026 at 18:12:30", 101
"May 25, 2026 at 18:12:31", 102
"May 25, 2026 at 18:12:32", 102
"May 25, 2026 at 18:12:33", 102
"May 25, 2026 at 18:12:34", 103
"May 25, 2026 at 18:12:35", 104
"May 25, 2026 at 18:12:36", 104
"May 25, 2026 at 18:12:37", 104
"May 25, 2026 at 18:12:38", 104
"May 25, 2026 at 18:12:39", 104
"May 25, 2026 at 18:12:40", 105
"May 25, 2026 at 18:12:41", 106
"May 25, 2026 at 18:12:42", 105
"May 25, 2026 at 18:12:43", 104
"May 25, 2026 at 18:12:44", 104
"May 25, 2026 at 18:12:45", 103
"May 25, 2026 at 18:12:46", 103
"May 25, 2026 at 18:12:47", 102
"May 25, 2026 at 18:12:48", 101
"May 25, 2026 at 18:12:49", 101
"May 25, 2026 at 18:12:50", 101
"May 25, 2026 at 18:12:52", 100
"May 25, 2026 at 18:12:52", 99
"May 25, 2026 at 18:12:53", 99
"May 25, 2026 at 18:12:54", 98
"May 25, 2026 at 18:12:55", 98
"May 25, 2026 at 18:12:56", 98
"May 25, 2026 at 18:12:57", 98
"May 25, 2026 at 18:12:58", 98
"May 25, 2026 at 18:12:59", 97
"May 25, 2026 at 18:13:00", 95
"May 25, 2026 at 18:13:01", 94
"May 25, 2026 at 18:13:02", 95
"May 25, 2026 at 18:13:03", 95
"May 25, 2026 at 18:13:04", 95
"May 25, 2026 at 18:13:05", 95
"May 25, 2026 at 18:13:06", 96
"May 25, 2026 at 18:13:07", 97
"May 25, 2026 at 18:13:08", 99
"May 25, 2026 at 18:13:09", 100
"May 25, 2026 at 18:13:10", 100
"May 25, 2026 at 18:13:11", 101
"May 25, 2026 at 18:13:12", 103
"May 25, 2026 at 18:13:13", 104
"May 25, 2026 at 18:13:14", 104
"May 25, 2026 at 18:13:15", 104
"May 25, 2026 at 18:13:16", 104
"May 25, 2026 at 18:13:17", 104
"May 25, 2026 at 18:13:18", 105
"May 25, 2026 at 18:13:19", 105
"May 25, 2026 at 18:13:20", 105
"May 25, 2026 at 18:13:21", 104
"May 25, 2026 at 18:13:22", 104
"May 25, 2026 at 18:13:23", 104
"May 25, 2026 at 18:13:24", 103
"May 25, 2026 at 18:13:25", 104
"May 25, 2026 at 18:13:26", 104
"May 25, 2026 at 18:13:27", 104
"May 25, 2026 at 18:13:28", 103
"May 25, 2026 at 18:13:29", 102
"May 25, 2026 at 18:13:30", 102
"May 25, 2026 at 18:13:31", 101
"May 25, 2026 at 18:13:32", 101
"May 25, 2026 at 18:13:33", 101
"May 25, 2026 at 18:13:34", 102
"May 25, 2026 at 18:13:35", 103
"May 25, 2026 at 18:13:36", 104
"May 25, 2026 at 18:13:37", 105
"May 25, 2026 at 18:13:38", 106
"May 25, 2026 at 18:13:39", 106
"May 25, 2026 at 18:13:40", 106
"May 25, 2026 at 18:13:41", 107
"May 25, 2026 at 18:13:42", 107
"May 25, 2026 at 18:13:43", 107
"May 25, 2026 at 18:13:44", 108
"May 25, 2026 at 18:13:45", 109
"May 25, 2026 at 18:13:46", 110
"May 25, 2026 at 18:13:47", 111
"May 25, 2026 at 18:13:48", 112
"May 25, 2026 at 18:13:49", 112
"May 25, 2026 at 18:13:50", 112
"May 25, 2026 at 18:13:51", 112
"May 25, 2026 at 18:13:52", 112
"May 25, 2026 at 18:13:53", 110
"May 25, 2026 at 18:13:54", 109
"May 25, 2026 at 18:13:55", 108
"May 25, 2026 at 18:13:56", 107
"May 25, 2026 at 18:13:57", 107
"May 25, 2026 at 18:13:58", 107
"May 25, 2026 at 18:13:59", 108
"May 25, 2026 at 18:14:00", 108
"May 25, 2026 at 18:14:01", 108
"May 25, 2026 at 18:14:02", 107
"May 25, 2026 at 18:14:03", 107
"May 25, 2026 at 18:14:04", 106
"May 25, 2026 at 18:14:05", 106
"May 25, 2026 at 18:14:06", 105
"May 25, 2026 at 18:14:07", 105
"May 25, 2026 at 18:14:08", 105
"May 25, 2026 at 18:14:09", 105
"May 25, 2026 at 18:14:10", 104
"May 25, 2026 at 18:14:11", 104
"May 25, 2026 at 18:14:12", 104
"May 25, 2026 at 18:14:13", 104
"May 25, 2026 at 18:14:14", 104
"May 25, 2026 at 18:14:15", 104
"May 25, 2026 at 18:14:16", 104
"May 25, 2026 at 18:14:17", 105
"May 25, 2026 at 18:14:18", 106
"May 25, 2026 at 18:14:19", 106
"May 25, 2026 at 18:14:20", 106
"May 25, 2026 at 18:14:21", 106
"May 25, 2026 at 18:14:22", 106
"May 25, 2026 at 18:14:23", 106
"May 25, 2026 at 18:14:24", 106
"May 25, 2026 at 18:14:25", 105
"May 25, 2026 at 18:14:26", 104
"May 25, 2026 at 18:14:27", 102
"May 25, 2026 at 18:14:28", 101
"May 25, 2026 at 18:14:29", 101
"May 25, 2026 at 18:14:30", 102
"May 25, 2026 at 18:14:31", 103
"May 25, 2026 at 18:14:32", 103
"May 25, 2026 at 18:14:33", 104
"May 25, 2026 at 18:14:34", 106
"May 25, 2026 at 18:14:35", 106
"May 25, 2026 at 18:14:36", 106
"May 25, 2026 at 18:14:37", 108
"May 25, 2026 at 18:14:38", 108
"May 25, 2026 at 18:14:39", 108
"May 25, 2026 at 18:14:40", 108
"May 25, 2026 at 18:14:41", 107
"May 25, 2026 at 18:14:42", 106
"May 25, 2026 at 18:14:43", 106
"May 25, 2026 at 18:14:44", 106
"May 25, 2026 at 18:14:45", 106
"May 25, 2026 at 18:14:46", 106
"May 25, 2026 at 18:14:47", 104
"May 25, 2026 at 18:14:48", 103
"May 25, 2026 at 18:14:49", 103
"May 25, 2026 at 18:14:50", 102
"May 25, 2026 at 18:14:51", 102
"May 25, 2026 at 18:14:52", 102
"May 25, 2026 at 18:14:53", 101
"May 25, 2026 at 18:14:54", 101
"May 25, 2026 at 18:14:55", 100
"May 25, 2026 at 18:14:56", 100
"May 25, 2026 at 18:14:57", 100
"May 25, 2026 at 18:14:58", 100
"May 25, 2026 at 18:14:59", 100
"May 25, 2026 at 18:15:00", 100
"May 25, 2026 at 18:15:01", 101
"May 25, 2026 at 18:15:02", 101
"May 25, 2026 at 18:15:03", 100
"May 25, 2026 at 18:15:04", 99
"May 25, 2026 at 18:15:05", 100
"May 25, 2026 at 18:15:06", 100
"May 25, 2026 at 18:15:07", 100
"May 25, 2026 at 18:15:08", 100
"May 25, 2026 at 18:15:09", 99
"May 25, 2026 at 18:15:10", 98
"May 25, 2026 at 18:15:11", 98
"May 25, 2026 at 18:15:13", 96
"May 25, 2026 at 18:15:13", 97
"May 25, 2026 at 18:15:14", 96
"May 25, 2026 at 18:15:15", 96
"May 25, 2026 at 18:15:16", 96
"May 25, 2026 at 18:15:17", 96
"May 25, 2026 at 18:15:18", 96
"May 25, 2026 at 18:15:19", 96
"May 25, 2026 at 18:15:20", 96
"May 25, 2026 at 18:15:21", 96
"May 25, 2026 at 18:15:22", 95
"May 25, 2026 at 18:15:23", 96
"May 25, 2026 at 18:15:24", 96
"May 25, 2026 at 18:15:25", 96
"May 25, 2026 at 18:15:26", 96
"May 25, 2026 at 18:15:27", 96
"May 25, 2026 at 18:15:28", 96
"May 25, 2026 at 18:15:29", 96
"May 25, 2026 at 18:15:30", 96
"May 25, 2026 at 18:15:31", 96
"May 25, 2026 at 18:15:32", 96
"May 25, 2026 at 18:15:33", 95
"May 25, 2026 at 18:15:34", 95
"May 25, 2026 at 18:15:35", 95
"May 25, 2026 at 18:15:36", 95
"May 25, 2026 at 18:15:37", 95
"May 25, 2026 at 18:15:38", 95
"May 25, 2026 at 18:15:39", 95
"May 25, 2026 at 18:15:40", 95
"May 25, 2026 at 18:15:41", 94
"May 25, 2026 at 18:15:42", 94
"May 25, 2026 at 18:15:43", 94
"May 25, 2026 at 18:15:44", 94
"May 25, 2026 at 18:15:45", 95
"May 25, 2026 at 18:15:46", 96
"May 25, 2026 at 18:15:47", 97
"May 25, 2026 at 18:15:48", 96
"May 25, 2026 at 18:15:49", 97
"May 25, 2026 at 18:15:50", 97
"May 25, 2026 at 18:15:51", 97
"May 25, 2026 at 18:15:52", 97
"May 25, 2026 at 18:15:53", 97
"May 25, 2026 at 18:15:54", 97
"May 25, 2026 at 18:15:55", 96
"May 25, 2026 at 18:15:56", 95
"May 25, 2026 at 18:15:57", 95
"May 25, 2026 at 18:15:58", 95
"May 25, 2026 at 18:16:00", 96
"May 25, 2026 at 18:16:00", 96
"May 25, 2026 at 18:16:01", 96
"May 25, 2026 at 18:16:02", 96
"May 25, 2026 at 18:16:03", 97
"May 25, 2026 at 18:16:04", 98
"May 25, 2026 at 18:16:05", 99
"May 25, 2026 at 18:16:06", 99
"May 25, 2026 at 18:16:07", 101
"May 25, 2026 at 18:16:08", 102
"May 25, 2026 at 18:16:09", 104
"May 25, 2026 at 18:16:10", 105
"May 25, 2026 at 18:16:11", 105
"May 25, 2026 at 18:16:12", 104
"May 25, 2026 at 18:16:13", 104
"May 25, 2026 at 18:16:14", 102
"May 25, 2026 at 18:16:15", 101
"May 25, 2026 at 18:16:16", 100
"May 25, 2026 at 18:16:17", 98
"May 25, 2026 at 18:16:18", 98
"May 25, 2026 at 18:16:19", 98
"May 25, 2026 at 18:16:20", 98
"May 25, 2026 at 18:16:21", 99
"May 25, 2026 at 18:16:22", 99
"May 25, 2026 at 18:16:23", 98
"May 25, 2026 at 18:16:24", 98
"May 25, 2026 at 18:16:25", 98
"May 25, 2026 at 18:16:26", 97
"May 25, 2026 at 18:16:27", 96
"May 25, 2026 at 18:16:29", 97
"May 25, 2026 at 18:16:29", 97
"May 25, 2026 at 18:16:30", 97
"May 25, 2026 at 18:16:31", 97
"May 25, 2026 at 18:16:32", 97
"May 25, 2026 at 18:16:33", 97
"May 25, 2026 at 18:16:35", 96
"May 25, 2026 at 18:16:35", 98
"May 25, 2026 at 18:16:36", 100
"May 25, 2026 at 18:16:37", 100
"May 25, 2026 at 18:16:38", 101
"May 25, 2026 at 18:16:39", 101
"May 25, 2026 at 18:16:41", 102
"May 25, 2026 at 18:16:41", 103
"May 25, 2026 at 18:16:42", 105
"May 25, 2026 at 18:16:43", 105
"May 25, 2026 at 18:16:44", 107
"May 25, 2026 at 18:16:45", 107
"May 25, 2026 at 18:16:47", 107
"May 25, 2026 at 18:16:47", 107
"May 25, 2026 at 18:16:48", 107
"May 25, 2026 at 18:16:49", 107
"May 25, 2026 at 18:16:50", 106
"May 25, 2026 at 18:16:51", 105
"May 25, 2026 at 18:16:53", 105
"May 25, 2026 at 18:16:53", 104
"May 25, 2026 at 18:16:54", 103
"May 25, 2026 at 18:16:55", 101
"May 25, 2026 at 18:16:56", 101
"May 25, 2026 at 18:16:57", 100
"May 25, 2026 at 18:16:59", 100
"May 25, 2026 at 18:16:59", 100
"May 25, 2026 at 18:17:00", 101
"May 25, 2026 at 18:17:01", 102
